Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,MCS Internal
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,307
Lower Discriminator:,207
Calibration Coefficients:Elapsed Real Time:,0.0
Elapsed Live Time:,0.0
Start Time:,March 27, 2025, 02:09:09
End Time:,March 27, 2025, 02:09:30
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,1,1023,2551,1527,0,514

Channel Data:
Channel,Energy,Counts
0,,3
1,,1
2,,4
3,,3
4,,3
5,,1
6,,5
7,,0
8,,4
9,,0
10,,0
11,,1
12,,1
13,,1
14,,0
15,,2
16,,1
17,,2
18,,1
19,,1
20,,5
21,,1
22,,4
23,,2
24,,1
25,,4
26,,2
27,,3
28,,1
29,,3
30,,1
31,,2
32,,3
33,,3
34,,0
35,,3
36,,4
37,,5
38,,2
39,,3
40,,6
41,,4
42,,3
43,,4
44,,5
45,,1
46,,1
47,,2
48,,2
49,,3
50,,2
51,,0
52,,2
53,,2
54,,4
55,,4
56,,1
57,,3
58,,3
59,,0
60,,3
61,,0
62,,2
63,,1
64,,5
65,,0
66,,0
67,,0
68,,6
69,,3
70,,6
71,,2
72,,0
73,,5
74,,4
75,,2
76,,4
77,,2
78,,2
79,,1
80,,2
81,,3
82,,5
83,,1
84,,1
85,,6
86,,1
87,,6
88,,4
89,,1
90,,3
91,,5
92,,8
93,,0
94,,4
95,,1
96,,1
97,,1
98,,2
99,,2
100,,4
101,,1
102,,7
103,,2
104,,4
105,,0
106,,4
107,,2
108,,5
109,,4
110,,3
111,,4
112,,1
113,,2
114,,4
115,,2
116,,4
117,,2
118,,1
119,,3
120,,1
121,,0
122,,2
123,,2
124,,2
125,,1
126,,1
127,,3
128,,1
129,,6
130,,2
131,,3
132,,3
133,,1
134,,2
135,,2
136,,2
137,,2
138,,3
139,,4
140,,5
141,,2
142,,3
143,,5
144,,1
145,,4
146,,1
147,,6
148,,1
149,,1
150,,3
151,,2
152,,1
153,,1
154,,0
155,,2
156,,4
157,,1
158,,2
159,,2
160,,8
161,,0
162,,4
163,,1
164,,1
165,,5
166,,4
167,,4
168,,1
169,,5
170,,0
171,,5
172,,4
173,,4
174,,0
175,,2
176,,3
177,,1
178,,1
179,,1
180,,3
181,,3
182,,3
183,,1
184,,3
185,,3
186,,2
187,,7
188,,2
189,,4
190,,4
191,,2
192,,2
193,,2
194,,3
195,,4
196,,5
197,,6
198,,1
199,,1
200,,0
201,,1
202,,1
203,,4
204,,2
205,,1
206,,2
207,,4
208,,0
209,,3
210,,3
211,,0
212,,1
213,,6
214,,2
215,,4
216,,2
217,,4
218,,1
219,,2
220,,3
221,,1
222,,3
223,,4
224,,4
225,,1
226,,4
227,,2
228,,3
229,,1
230,,1
231,,2
232,,3
233,,3
234,,1
235,,1
236,,2
237,,3
238,,1
239,,3
240,,3
241,,3
242,,3
243,,4
244,,1
245,,6
246,,4
247,,4
248,,1
249,,2
250,,3
251,,2
252,,2
253,,1
254,,2
255,,1
256,,4
257,,4
258,,3
259,,4
260,,4
261,,4
262,,4
263,,1
264,,2
265,,3
266,,1
267,,1
268,,3
269,,2
270,,0
271,,6
272,,6
273,,1
274,,6
275,,3
276,,4
277,,5
278,,2
279,,2
280,,2
281,,7
282,,0
283,,3
284,,4
285,,2
286,,4
287,,2
288,,1
289,,2
290,,2
291,,0
292,,1
293,,2
294,,1
295,,1
296,,1
297,,3
298,,1
299,,2
300,,3
301,,5
302,,5
303,,2
304,,3
305,,2
306,,3
307,,4
308,,1
309,,3
310,,3
311,,4
312,,5
313,,1
314,,2
315,,2
316,,5
317,,2
318,,6
319,,2
320,,2
321,,5
322,,5
323,,0
324,,1
325,,1
326,,3
327,,2
328,,3
329,,2
330,,1
331,,3
332,,5
333,,3
334,,0
335,,1
336,,4
337,,3
338,,0
339,,2
340,,2
341,,3
342,,3
343,,2
344,,2
345,,0
346,,3
347,,4
348,,3
349,,2
350,,2
351,,3
352,,1
353,,3
354,,3
355,,2
356,,3
357,,4
358,,1
359,,3
360,,3
361,,1
362,,3
363,,1
364,,2
365,,2
366,,4
367,,1
368,,4
369,,0
370,,2
371,,3
372,,7
373,,2
374,,2
375,,1
376,,1
377,,5
378,,5
379,,0
380,,1
381,,1
382,,5
383,,2
384,,2
385,,1
386,,4
387,,5
388,,1
389,,4
390,,4
391,,3
392,,1
393,,6
394,,0
395,,2
396,,2
397,,0
398,,3
399,,0
400,,1
401,,2
402,,3
403,,1
404,,1
405,,2
406,,4
407,,4
408,,5
409,,2
410,,1
411,,2
412,,3
413,,1
414,,3
415,,1
416,,2
417,,1
418,,3
419,,1
420,,3
421,,5
422,,4
423,,3
424,,3
425,,2
426,,2
427,,3
428,,4
429,,3
430,,1
431,,3
432,,0
433,,6
434,,4
435,,1
436,,3
437,,1
438,,1
439,,1
440,,1
441,,2
442,,1
443,,1
444,,4
445,,4
446,,1
447,,2
448,,4
449,,1
450,,2
451,,1
452,,1
453,,0
454,,1
455,,6
456,,3
457,,2
458,,2
459,,2
460,,0
461,,2
462,,3
463,,5
464,,3
465,,3
466,,1
467,,4
468,,3
469,,0
470,,7
471,,1
472,,2
473,,5
474,,3
475,,3
476,,3
477,,4
478,,3
479,,1
480,,2
481,,1
482,,3
483,,4
484,,1
485,,3
486,,0
487,,3
488,,3
489,,6
490,,1
491,,3
492,,3
493,,0
494,,4
495,,4
496,,3
497,,1
498,,2
499,,0
500,,2
501,,1
502,,2
503,,1
504,,4
505,,1
506,,3
507,,0
508,,0
509,,3
510,,4
511,,3
512,,1
513,,3
514,,3
515,,3
516,,3
517,,3
518,,0
519,,1
520,,1
521,,3
522,,2
523,,4
524,,1
525,,1
526,,2
527,,3
528,,1
529,,3
530,,3
531,,4
532,,1
533,,1
534,,2
535,,3
536,,0
537,,6
538,,2
539,,2
540,,4
541,,0
542,,2
543,,2
544,,4
545,,2
546,,4
547,,3
548,,1
549,,4
550,,4
551,,3
552,,3
553,,3
554,,2
555,,7
556,,4
557,,3
558,,2
559,,2
560,,1
561,,2
562,,3
563,,1
564,,1
565,,2
566,,3
567,,0
568,,1
569,,2
570,,2
571,,1
572,,3
573,,5
574,,1
575,,4
576,,4
577,,2
578,,3
579,,2
580,,4
581,,0
582,,3
583,,3
584,,2
585,,2
586,,2
587,,2
588,,1
589,,3
590,,1
591,,1
592,,7
593,,1
594,,4
595,,2
596,,1
597,,3
598,,1
599,,1
600,,1
601,,2
602,,2
603,,4
604,,0
605,,2
606,,2
607,,2
608,,3
609,,1
610,,2
611,,1
612,,4
613,,3
614,,6
615,,3
616,,3
617,,1
618,,3
619,,2
620,,3
621,,2
622,,3
623,,5
624,,0
625,,2
626,,0
627,,1
628,,2
629,,4
630,,3
631,,2
632,,2
633,,2
634,,1
635,,2
636,,2
637,,3
638,,5
639,,1
640,,1
641,,2
642,,2
643,,2
644,,6
645,,1
646,,5
647,,0
648,,2
649,,5
650,,5
651,,4
652,,2
653,,1
654,,2
655,,5
656,,1
657,,3
658,,1
659,,6
660,,2
661,,6
662,,4
663,,1
664,,2
665,,4
666,,2
667,,3
668,,5
669,,2
670,,0
671,,0
672,,3
673,,2
674,,5
675,,1
676,,2
677,,5
678,,2
679,,2
680,,3
681,,4
682,,4
683,,2
684,,6
685,,4
686,,3
687,,1
688,,3
689,,1
690,,0
691,,4
692,,1
693,,2
694,,3
695,,2
696,,2
697,,3
698,,2
699,,4
700,,1
701,,2
702,,1
703,,2
704,,0
705,,3
706,,3
707,,0
708,,1
709,,1
710,,3
711,,4
712,,1
713,,2
714,,1
715,,6
716,,2
717,,1
718,,3
719,,1
720,,4
721,,3
722,,2
723,,2
724,,3
725,,3
726,,2
727,,5
728,,2
729,,5
730,,4
731,,4
732,,2
733,,3
734,,3
735,,1
736,,5
737,,3
738,,2
739,,2
740,,1
741,,0
742,,8
743,,4
744,,2
745,,1
746,,2
747,,4
748,,1
749,,4
750,,0
751,,2
752,,4
753,,2
754,,3
755,,0
756,,0
757,,1
758,,4
759,,2
760,,3
761,,0
762,,2
763,,3
764,,1
765,,3
766,,1
767,,1
768,,4
769,,2
770,,2
771,,2
772,,1
773,,2
774,,2
775,,4
776,,3
777,,4
778,,4
779,,2
780,,4
781,,1
782,,1
783,,2
784,,1
785,,2
786,,1
787,,3
788,,3
789,,5
790,,4
791,,1
792,,1
793,,3
794,,1
795,,3
796,,3
797,,6
798,,4
799,,2
800,,3
801,,4
802,,3
803,,2
804,,2
805,,4
806,,3
807,,4
808,,1
809,,4
810,,1
811,,3
812,,0
813,,2
814,,1
815,,3
816,,3
817,,0
818,,2
819,,2
820,,1
821,,2
822,,6
823,,2
824,,3
825,,4
826,,3
827,,0
828,,4
829,,3
830,,5
831,,4
832,,2
833,,2
834,,1
835,,7
836,,4
837,,4
