Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,614.52
Elapsed Live Time:,600.44
Start Time:,March 27, 2025, 02:24:46
End Time:,March 27, 2025, 02:35:00
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,1,1023,313896,313896,0,135

Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,8
10,,137
11,,62
12,,72
13,,106
14,,272
15,,1193
16,,2110
17,,2185
18,,2332
19,,2161
20,,1989
21,,1757
22,,1606
23,,1611
24,,1654
25,,1776
26,,1909
27,,2049
28,,2149
29,,2209
30,,2281
31,,2248
32,,2370
33,,2387
34,,2360
35,,2315
36,,2321
37,,2338
38,,2203
39,,2239
40,,2240
41,,2171
42,,2121
43,,2199
44,,2119
45,,2128
46,,2118
47,,2034
48,,2078
49,,2048
50,,1996
51,,1992
52,,1792
53,,1874
54,,1866
55,,1770
56,,1803
57,,1708
58,,1743
59,,1747
60,,1744
61,,1809
62,,1728
63,,1645
64,,1683
65,,1588
66,,1714
67,,1684
68,,1684
69,,1676
70,,1727
71,,1647
72,,1699
73,,1756
74,,1632
75,,1779
76,,1770
77,,1701
78,,1700
79,,1663
80,,1702
81,,1634
82,,1499
83,,1517
84,,1479
85,,1442
86,,1453
87,,1467
88,,1350
89,,1420
90,,1333
91,,1330
92,,1335
93,,1275
94,,1237
95,,1317
96,,1251
97,,1220
98,,1193
99,,1228
100,,1114
101,,1129
102,,1014
103,,1095
104,,1111
105,,1040
106,,999
107,,1059
108,,979
109,,968
110,,925
111,,960
112,,940
113,,883
114,,944
115,,903
116,,896
117,,933
118,,911
119,,890
120,,922
121,,863
122,,925
123,,909
124,,845
125,,849
126,,772
127,,813
128,,818
129,,774
130,,790
131,,801
132,,852
133,,831
134,,795
135,,801
136,,774
137,,739
138,,741
139,,784
140,,796
141,,791
142,,764
143,,728
144,,771
145,,758
146,,726
147,,790
148,,719
149,,757
150,,739
151,,713
152,,767
153,,692
154,,754
155,,744
156,,706
157,,672
158,,711
159,,749
160,,712
161,,712
162,,702
163,,697
164,,748
165,,693
166,,638
167,,723
168,,707
169,,635
170,,641
171,,679
172,,656
173,,669
174,,650
175,,616
176,,580
177,,548
178,,544
179,,513
180,,467
181,,465
182,,460
183,,398
184,,454
185,,376
186,,368
187,,330
188,,348
189,,326
190,,305
191,,328
192,,278
193,,291
194,,268
195,,263
196,,226
197,,254
198,,239
199,,203
200,,240
201,,201
202,,207
203,,179
204,,195
205,,201
206,,186
207,,179
208,,177
209,,181
210,,192
211,,154
212,,169
213,,195
214,,176
215,,188
216,,213
217,,180
218,,184
219,,197
220,,193
221,,225
222,,220
223,,245
224,,246
225,,247
226,,292
227,,318
228,,320
229,,375
230,,437
231,,486
232,,520
233,,588
234,,706
235,,793
236,,889
237,,1060
238,,1144
239,,1400
240,,1407
241,,1691
242,,1828
243,,2019
244,,2192
245,,2297
246,,2411
247,,2665
248,,2778
249,,2887
250,,2982
251,,2963
252,,2907
253,,2932
254,,2776
255,,2717
256,,2611
257,,2557
258,,2356
259,,2197
260,,1880
261,,1800
262,,1606
263,,1506
264,,1296
265,,1112
266,,985
267,,795
268,,706
269,,562
270,,535
271,,406
272,,363
273,,324
274,,270
275,,221
276,,197
277,,195
278,,156
279,,146
280,,143
281,,98
282,,103
283,,85
284,,70
285,,85
286,,74
287,,81
288,,58
289,,74
290,,54
291,,61
292,,47
293,,56
294,,63
295,,46
296,,46
297,,42
298,,56
299,,52
300,,50
301,,50
302,,51
303,,38
304,,54
305,,46
306,,52
307,,49
308,,44
309,,50
310,,52
311,,37
312,,35
313,,46
314,,47
315,,44
316,,48
317,,49
318,,34
319,,31
320,,51
321,,40
322,,41
323,,41
324,,39
325,,38
326,,37
327,,52
328,,47
329,,46
330,,33
331,,47
332,,38
333,,51
334,,43
335,,41
336,,49
337,,37
338,,51
339,,43
340,,45
341,,34
342,,39
343,,44
344,,38
345,,45
346,,36
347,,41
348,,36
