Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,MCS Internal
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,307
Lower Discriminator:,207
Calibration Coefficients:Elapsed Real Time:,0.0
Elapsed Live Time:,0.0
Start Time:,March 27, 2025, 12:27:05
End Time:,March 27, 2025, 12:27:26
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,25
1,,21
2,,26
3,,24
4,,25
5,,34
6,,17
7,,28
8,,29
9,,20
10,,24
11,,25
12,,28
13,,27
14,,33
15,,23
16,,21
17,,19
18,,30
19,,32
20,,21
21,,34
22,,23
23,,23
24,,21
25,,23
26,,28
27,,26
28,,25
29,,36
30,,22
31,,31
32,,36
33,,28
34,,32
35,,31
36,,19
37,,30
38,,23
39,,33
40,,32
41,,37
42,,28
43,,29
44,,23
45,,28
46,,25
47,,28
48,,30
49,,26
50,,20
51,,16
52,,18
53,,32
54,,24
55,,27
56,,28
57,,20
58,,33
59,,28
60,,20
61,,24
62,,29
63,,24
64,,23
65,,23
66,,22
67,,27
68,,24
69,,23
70,,26
71,,21
72,,26
73,,25
74,,28
75,,24
76,,35
77,,27
78,,26
79,,37
80,,25
81,,25
82,,19
83,,27
84,,36
85,,24
86,,27
87,,42
88,,28
89,,41
90,,29
91,,35
92,,28
93,,29
94,,24
95,,22
96,,22
97,,27
98,,29
99,,17
100,,33
101,,27
102,,23
103,,23
104,,26
105,,21
106,,25
107,,23
108,,23
109,,27
110,,31
111,,23
112,,30
113,,32
114,,28
115,,37
116,,27
117,,28
118,,35
119,,24
120,,30
121,,23
122,,24
123,,27
124,,29
125,,37
126,,28
127,,21
128,,22
129,,29
130,,27
131,,26
132,,29
133,,30
134,,27
135,,27
136,,36
137,,33
138,,34
139,,15
140,,25
141,,28
142,,24
143,,29
144,,24
145,,28
146,,22
147,,18
148,,19
149,,23
150,,35
151,,32
152,,22
153,,29
154,,21
155,,33
156,,27
157,,20
158,,22
159,,23
160,,18
161,,29
162,,30
163,,22
164,,27
165,,25
166,,27
167,,24
168,,20
169,,38
170,,23
171,,27
172,,25
173,,28
174,,29
175,,30
176,,21
177,,25
178,,21
179,,18
180,,25
181,,32
182,,25
183,,29
184,,22
185,,24
186,,26
187,,32
188,,26
189,,32
190,,26
191,,29
192,,24
193,,29
194,,27
195,,28
196,,27
197,,28
198,,22
199,,30
200,,29
201,,22
202,,26
203,,26
204,,27
205,,30
206,,27
207,,28
208,,19
209,,27
210,,32
211,,34
212,,28
213,,28
214,,24
215,,27
216,,22
217,,27
218,,27
219,,22
220,,34
221,,27
222,,27
223,,26
224,,26
225,,26
226,,26
227,,28
228,,20
229,,33
230,,26
231,,23
232,,22
233,,33
234,,30
235,,28
236,,34
237,,26
238,,20
239,,25
240,,28
241,,23
242,,36
243,,22
244,,25
245,,36
246,,27
247,,23
248,,35
249,,24
250,,34
251,,20
252,,25
253,,24
254,,29
255,,25
256,,31
257,,29
258,,24
259,,25
260,,28
261,,21
262,,31
263,,21
264,,20
265,,29
266,,23
267,,19
268,,33
269,,28
270,,21
271,,31
272,,23
273,,20
274,,30
275,,27
276,,29
277,,27
278,,34
279,,27
280,,28
281,,17
282,,24
283,,28
284,,30
285,,28
286,,23
287,,26
288,,32
289,,26
290,,32
291,,19
292,,30
293,,26
294,,26
295,,31
296,,21
297,,28
298,,29
299,,29
300,,26
301,,32
302,,29
303,,25
304,,21
305,,20
306,,25
307,,26
308,,28
309,,17
310,,26
311,,28
312,,39
313,,19
314,,25
315,,27
316,,31
317,,31
318,,26
319,,29
320,,24
321,,25
322,,28
323,,38
324,,23
325,,26
326,,23
327,,36
328,,28
329,,23
