Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,MCS Internal
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,307
Lower Discriminator:,207
Calibration Coefficients:Elapsed Real Time:,0.0
Elapsed Live Time:,0.0
Start Time:,March 27, 2025, 01:41:14
End Time:,March 27, 2025, 01:41:55
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,1,1023,56252,-526,0,512

Channel Data:
Channel,Energy,Counts
0,,52
1,,51
2,,48
3,,58
4,,54
5,,49
6,,38
7,,58
8,,67
9,,53
10,,57
11,,43
12,,69
13,,59
14,,50
15,,61
16,,57
17,,62
18,,59
19,,57
20,,52
21,,53
22,,67
23,,39
24,,59
25,,57
26,,59
27,,56
28,,59
29,,46
30,,47
31,,65
32,,49
33,,58
34,,47
35,,53
36,,58
37,,52
38,,46
39,,66
40,,52
41,,57
42,,60
43,,56
44,,56
45,,45
46,,52
47,,58
48,,51
49,,54
50,,52
51,,48
52,,69
53,,53
54,,54
55,,53
56,,44
57,,42
58,,61
59,,63
60,,39
61,,48
62,,51
63,,52
64,,53
65,,60
66,,56
67,,46
68,,50
69,,51
70,,55
71,,70
72,,63
73,,47
74,,49
75,,52
76,,55
77,,61
78,,57
79,,59
80,,56
81,,48
82,,68
83,,67
84,,55
85,,55
86,,54
87,,65
88,,51
89,,44
90,,47
91,,58
92,,54
93,,62
94,,53
95,,70
96,,72
97,,46
98,,55
99,,51
100,,59
101,,76
102,,56
103,,50
104,,55
105,,60
106,,59
107,,44
108,,48
109,,57
110,,64
111,,47
112,,64
113,,63
114,,62
115,,59
116,,55
117,,50
118,,55
119,,59
120,,52
121,,44
122,,62
123,,48
124,,62
125,,64
126,,55
127,,45
128,,50
129,,78
130,,58
131,,57
132,,63
133,,62
134,,42
135,,44
136,,50
137,,51
138,,67
139,,55
140,,63
141,,44
142,,48
143,,53
144,,68
145,,54
146,,52
147,,45
148,,56
149,,51
150,,61
151,,38
152,,59
153,,54
154,,76
155,,55
156,,48
157,,43
158,,56
159,,51
160,,53
161,,48
162,,56
163,,61
164,,48
165,,55
166,,43
167,,68
168,,49
169,,61
170,,57
171,,51
172,,44
173,,51
174,,57
175,,55
176,,57
177,,62
178,,54
179,,54
180,,44
181,,49
182,,61
183,,54
184,,50
185,,46
186,,51
187,,51
188,,63
189,,55
190,,53
191,,60
192,,61
193,,45
194,,54
195,,65
196,,53
197,,56
198,,58
199,,58
200,,58
201,,53
202,,60
203,,62
204,,51
205,,32
206,,71
207,,43
208,,49
209,,49
210,,63
211,,54
212,,44
213,,54
214,,60
215,,62
216,,58
217,,56
218,,60
219,,55
220,,55
221,,47
222,,45
223,,42
224,,53
225,,52
226,,55
227,,55
228,,57
229,,64
230,,49
231,,48
232,,65
233,,51
234,,77
235,,50
236,,62
237,,50
238,,50
239,,49
240,,46
241,,52
242,,52
243,,57
244,,56
245,,53
246,,65
247,,39
248,,48
249,,59
250,,62
251,,55
252,,61
253,,58
254,,64
255,,70
256,,76
257,,63
258,,57
259,,61
260,,44
261,,49
262,,51
263,,72
264,,65
265,,43
266,,42
267,,50
268,,48
269,,64
270,,53
271,,51
272,,38
273,,63
274,,50
275,,51
276,,52
277,,59
278,,41
279,,58
280,,43
281,,53
282,,62
283,,47
284,,55
285,,47
286,,44
287,,47
288,,48
289,,49
290,,55
291,,52
292,,45
293,,55
294,,55
295,,43
296,,53
297,,68
298,,53
299,,56
300,,61
301,,59
302,,47
303,,50
304,,50
305,,49
306,,60
307,,59
308,,53
309,,65
310,,69
311,,53
312,,57
313,,46
314,,79
315,,63
316,,49
317,,49
318,,51
319,,49
320,,58
321,,45
322,,60
323,,60
324,,52
325,,55
326,,50
327,,59
328,,50
329,,53
330,,55
331,,61
332,,56
333,,51
334,,64
335,,53
336,,66
337,,69
338,,62
339,,55
340,,45
341,,47
342,,56
343,,55
344,,48
345,,67
346,,56
347,,45
348,,55
349,,55
350,,67
351,,45
352,,64
353,,56
354,,45
355,,47
356,,53
357,,65
358,,46
359,,62
360,,51
361,,55
362,,51
363,,49
364,,61
365,,61
366,,47
367,,65
368,,52
369,,51
370,,52
371,,53
372,,46
373,,51
374,,62
375,,39
376,,49
377,,47
378,,55
379,,48
380,,52
381,,69
382,,51
383,,45
384,,45
385,,41
386,,66
387,,56
388,,39
389,,60
390,,57
391,,50
392,,63
393,,78
394,,50
395,,67
396,,49
397,,54
398,,60
399,,45
400,,46
401,,48
402,,50
403,,42
404,,44
405,,57
406,,54
407,,56
408,,51
409,,63
410,,50
411,,50
412,,53
413,,49
414,,55
415,,49
416,,52
417,,63
418,,66
419,,45
420,,64
421,,63
422,,56
423,,60
424,,51
425,,49
426,,60
427,,54
428,,59
429,,62
430,,46
431,,58
432,,52
433,,55
434,,69
435,,55
436,,67
437,,65
438,,52
439,,63
440,,54
441,,64
442,,37
443,,51
444,,56
445,,54
446,,50
447,,56
448,,47
449,,62
450,,59
451,,59
452,,56
453,,70
454,,56
455,,66
456,,51
457,,55
458,,49
459,,59
460,,75
461,,49
462,,55
463,,59
464,,44
465,,57
466,,62
467,,57
468,,51
469,,64
470,,54
471,,58
472,,57
473,,57
474,,69
475,,59
476,,59
477,,55
478,,50
479,,71
480,,52
481,,42
482,,48
483,,66
484,,51
485,,56
486,,50
487,,66
488,,59
489,,48
490,,42
491,,55
492,,67
493,,47
494,,57
495,,65
