Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,MCS Internal
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,307
Lower Discriminator:,207
Calibration Coefficients:Elapsed Real Time:,0.0
Elapsed Live Time:,0.0
Start Time:,March 27, 2025, 12:50:11
End Time:,March 27, 2025, 12:50:31
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,1,1023,10282,1585,0,509

Channel Data:
Channel,Energy,Counts
0,,21
1,,12
2,,10
3,,15
4,,13
5,,7
6,,11
7,,9
8,,14
9,,7
10,,5
11,,14
12,,9
13,,10
14,,12
15,,10
16,,14
17,,5
18,,16
19,,12
20,,10
21,,7
22,,14
23,,8
24,,9
25,,9
26,,10
27,,8
28,,9
29,,7
30,,13
31,,7
32,,7
33,,11
34,,10
35,,8
36,,13
37,,5
38,,14
39,,10
40,,16
41,,9
42,,14
43,,12
44,,3
45,,4
46,,6
47,,8
48,,10
49,,9
50,,10
51,,12
52,,6
53,,11
54,,8
55,,8
56,,9
57,,6
58,,11
59,,14
60,,7
61,,8
62,,8
63,,10
64,,9
65,,4
66,,8
67,,8
68,,12
69,,13
70,,14
71,,16
72,,10
73,,13
74,,7
75,,11
76,,11
77,,8
78,,7
79,,7
80,,5
81,,15
82,,9
83,,9
84,,15
85,,8
86,,8
87,,12
88,,15
89,,20
90,,12
91,,9
92,,15
93,,9
94,,8
95,,14
96,,9
97,,4
98,,11
99,,8
100,,12
101,,11
102,,7
103,,13
104,,14
105,,12
106,,11
107,,12
108,,7
109,,7
110,,13
111,,7
112,,8
113,,11
114,,15
115,,10
116,,8
117,,7
118,,10
119,,7
120,,2
121,,11
122,,8
123,,10
124,,8
125,,17
126,,3
127,,9
128,,16
129,,11
130,,9
131,,6
132,,8
133,,15
134,,9
135,,14
136,,10
137,,19
138,,7
139,,8
140,,9
141,,12
142,,11
143,,9
144,,11
145,,14
146,,9
147,,6
148,,8
149,,12
150,,18
151,,10
152,,14
153,,18
154,,10
155,,8
156,,7
157,,10
158,,15
159,,10
160,,12
161,,7
162,,9
163,,7
164,,13
165,,13
166,,10
167,,10
168,,13
169,,8
170,,9
171,,8
172,,12
173,,17
174,,7
175,,8
176,,6
177,,10
178,,15
179,,9
180,,8
181,,10
182,,9
183,,15
184,,8
185,,11
186,,9
187,,11
188,,12
189,,10
190,,15
191,,15
192,,7
193,,5
194,,10
195,,6
196,,12
197,,10
198,,9
199,,15
200,,7
201,,14
202,,15
203,,14
204,,9
205,,7
206,,10
207,,8
208,,7
209,,16
210,,14
211,,6
212,,14
213,,7
214,,8
215,,12
216,,6
217,,10
218,,11
219,,12
220,,11
221,,6
222,,7
223,,9
224,,10
225,,7
226,,13
227,,10
228,,8
229,,14
230,,11
231,,9
232,,8
233,,6
234,,8
235,,9
236,,10
237,,10
238,,8
239,,7
240,,17
241,,7
242,,8
243,,14
244,,22
245,,8
246,,18
247,,8
248,,8
249,,9
250,,6
251,,10
252,,10
253,,7
254,,12
255,,9
256,,13
257,,12
258,,9
259,,9
260,,11
261,,11
262,,5
263,,14
264,,6
265,,14
266,,12
267,,14
268,,9
269,,9
270,,11
271,,14
272,,9
273,,8
274,,12
275,,14
276,,12
277,,13
278,,13
279,,11
280,,11
281,,11
282,,9
283,,9
284,,10
285,,11
286,,6
287,,12
288,,11
289,,17
290,,12
291,,8
292,,14
293,,7
294,,4
295,,9
296,,13
297,,13
298,,8
299,,3
300,,8
301,,9
302,,15
303,,12
304,,9
305,,10
306,,9
307,,11
308,,17
309,,11
310,,11
311,,7
312,,10
313,,11
314,,11
315,,5
316,,16
317,,8
318,,15
319,,11
320,,9
321,,16
322,,11
323,,5
324,,9
325,,10
326,,11
327,,11
328,,10
329,,5
330,,9
331,,7
332,,8
333,,17
334,,7
335,,10
336,,12
337,,9
338,,4
339,,8
340,,11
341,,6
342,,13
343,,13
344,,13
345,,6
346,,5
347,,13
348,,8
349,,7
350,,15
351,,11
352,,10
353,,11
354,,12
355,,9
356,,9
357,,12
358,,13
359,,6
360,,14
361,,16
362,,8
363,,15
364,,11
365,,12
366,,15
367,,11
368,,12
369,,14
370,,12
371,,8
372,,10
373,,12
374,,11
375,,12
376,,7
377,,11
378,,6
379,,10
380,,6
381,,7
382,,6
383,,8
384,,12
385,,9
386,,15
387,,12
388,,11
389,,9
390,,9
391,,8
392,,7
393,,11
394,,7
395,,7
396,,9
397,,14
398,,11
399,,13
400,,7
401,,5
402,,9
403,,4
404,,12
405,,5
406,,9
407,,11
408,,16
409,,9
410,,8
411,,15
412,,19
413,,11
414,,5
415,,6
416,,6
417,,6
418,,13
419,,7
420,,9
421,,15
422,,13
423,,15
424,,12
425,,8
426,,10
427,,11
428,,9
429,,13
430,,8
431,,13
432,,7
433,,9
434,,9
435,,13
436,,12
437,,1
438,,10
439,,9
440,,7
441,,12
442,,10
443,,11
444,,9
445,,12
446,,12
