Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,MCS Internal
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,307
Lower Discriminator:,207
Calibration Coefficients:Elapsed Real Time:,0.0
Elapsed Live Time:,0.0
Start Time:,March 27, 2025, 01:09:44
End Time:,March 27, 2025, 01:10:04
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,1,1023,4091,-1025,0,513

Channel Data:
Channel,Energy,Counts
0,,2
1,,6
2,,4
3,,4
4,,5
5,,8
6,,4
7,,5
8,,4
9,,0
10,,1
11,,1
12,,2
13,,2
14,,4
15,,4
16,,3
17,,3
18,,4
19,,4
20,,0
21,,2
22,,5
23,,0
24,,4
25,,5
26,,2
27,,4
28,,5
29,,8
30,,2
31,,3
32,,4
33,,5
34,,7
35,,8
36,,4
37,,3
38,,4
39,,4
40,,5
41,,2
42,,6
43,,7
44,,3
45,,3
46,,2
47,,4
48,,1
49,,5
50,,9
51,,4
52,,5
53,,9
54,,4
55,,3
56,,4
57,,3
58,,2
59,,3
60,,4
61,,2
62,,3
63,,7
64,,4
65,,3
66,,4
67,,3
68,,4
69,,4
70,,2
71,,3
72,,4
73,,4
74,,3
75,,6
76,,7
77,,3
78,,1
79,,4
80,,1
81,,3
82,,4
83,,1
84,,4
85,,4
86,,5
87,,3
88,,4
89,,4
90,,2
91,,6
92,,3
93,,0
94,,4
95,,4
96,,2
97,,4
98,,2
99,,5
100,,1
101,,3
102,,5
103,,2
104,,10
105,,3
106,,1
107,,6
108,,5
109,,2
110,,6
111,,5
112,,2
113,,4
114,,6
115,,3
116,,2
117,,2
118,,2
119,,5
120,,8
121,,2
122,,3
123,,5
124,,4
125,,3
126,,5
127,,4
128,,6
129,,4
130,,5
131,,2
132,,2
133,,5
134,,2
135,,3
136,,2
137,,0
138,,4
139,,4
140,,6
141,,5
142,,5
143,,5
144,,6
145,,2
146,,4
147,,2
148,,5
149,,10
150,,3
151,,4
152,,5
153,,5
154,,4
155,,9
156,,5
157,,5
158,,1
159,,8
160,,1
161,,4
162,,1
163,,3
164,,4
165,,4
166,,1
167,,2
168,,5
169,,6
170,,7
171,,2
172,,8
173,,2
174,,3
175,,7
176,,2
177,,5
178,,8
179,,4
180,,7
181,,3
182,,5
183,,4
184,,5
185,,2
186,,4
187,,3
188,,2
189,,2
190,,4
191,,5
192,,4
193,,4
194,,1
195,,6
196,,4
197,,3
198,,4
199,,9
200,,5
201,,2
202,,4
203,,4
204,,2
205,,3
206,,4
207,,3
208,,4
209,,4
210,,3
211,,7
212,,5
213,,4
214,,6
215,,2
216,,9
217,,3
218,,2
219,,5
220,,3
221,,3
222,,3
223,,8
224,,8
225,,2
226,,5
227,,2
228,,7
229,,2
230,,1
231,,4
232,,5
233,,6
234,,3
235,,3
236,,2
237,,4
238,,6
239,,4
240,,3
241,,2
242,,6
243,,5
244,,4
245,,4
246,,3
247,,8
248,,3
249,,2
250,,7
251,,7
252,,2
253,,3
254,,2
255,,2
256,,5
257,,4
258,,3
259,,4
260,,2
261,,10
262,,7
263,,4
264,,1
265,,5
266,,4
267,,3
268,,2
269,,2
270,,1
271,,7
272,,3
273,,7
274,,5
275,,2
276,,6
277,,4
278,,5
279,,7
280,,4
281,,5
282,,3
283,,8
284,,5
285,,5
286,,5
287,,3
288,,5
289,,3
290,,7
291,,4
292,,5
293,,3
294,,4
295,,3
296,,3
297,,4
298,,1
299,,2
300,,5
301,,3
302,,4
303,,7
304,,4
305,,2
306,,7
307,,6
308,,2
309,,4
310,,5
311,,6
312,,2
313,,1
314,,3
315,,3
316,,4
317,,3
318,,2
319,,5
320,,3
321,,3
322,,8
323,,3
324,,4
325,,2
326,,2
327,,7
328,,3
329,,5
330,,3
331,,6
332,,3
333,,4
334,,8
335,,6
336,,4
337,,3
338,,3
339,,4
340,,5
341,,1
342,,3
343,,3
344,,4
345,,9
346,,0
347,,5
348,,4
349,,1
350,,2
351,,7
352,,1
353,,3
354,,3
355,,5
356,,2
357,,4
358,,1
359,,1
360,,2
361,,3
362,,2
363,,2
364,,7
365,,4
366,,1
367,,4
368,,4
369,,1
370,,2
371,,5
372,,5
373,,6
374,,3
375,,7
376,,4
377,,2
378,,4
379,,3
380,,2
381,,4
382,,3
383,,0
384,,8
385,,3
386,,5
387,,5
388,,9
389,,4
390,,9
391,,3
392,,4
393,,3
394,,1
395,,4
396,,1
397,,3
398,,8
399,,2
400,,3
401,,3
402,,5
403,,4
404,,3
405,,1
406,,3
407,,2
408,,1
409,,2
410,,3
411,,10
412,,1
413,,4
414,,5
415,,4
416,,6
417,,2
418,,7
419,,6
420,,3
421,,6
422,,2
423,,5
424,,4
425,,4
426,,5
427,,8
428,,4
429,,4
430,,4
431,,2
432,,6
433,,1
434,,10
435,,3
436,,7
437,,4
438,,4
439,,3
440,,4
441,,3
442,,2
443,,4
444,,7
445,,2
446,,7
447,,3
448,,2
449,,3
450,,3
451,,3
452,,4
453,,6
454,,9
455,,3
456,,5
457,,6
458,,5
459,,6
460,,4
461,,7
462,,3
463,,8
464,,4
465,,3
466,,5
467,,5
468,,2
469,,2
470,,4
471,,5
472,,6
473,,4
474,,2
475,,2
476,,5
477,,2
478,,1
479,,2
480,,5
481,,6
482,,2
483,,6
484,,3
485,,5
486,,2
487,,5
488,,5
489,,3
490,,8
491,,4
492,,3
493,,4
494,,8
495,,3
496,,5
497,,6
498,,3
499,,6
500,,6
501,,2
502,,4
503,,1
504,,7
505,,4
506,,5
507,,2
508,,7
509,,7
510,,6
511,,1
512,,4
513,,3
514,,4
515,,5
516,,1
517,,3
518,,2
519,,3
520,,4
521,,0
522,,4
523,,5
524,,2
525,,5
526,,3
527,,2
528,,3
529,,4
530,,5
531,,5
532,,8
533,,5
534,,4
535,,2
536,,7
537,,4
538,,7
539,,4
540,,6
541,,4
542,,3
543,,3
544,,4
545,,6
546,,4
547,,4
548,,4
549,,5
550,,5
551,,4
552,,7
553,,5
554,,5
555,,3
556,,7
557,,5
558,,6
559,,4
560,,3
561,,3
562,,6
563,,4
564,,8
565,,4
566,,8
567,,5
568,,2
569,,3
570,,5
571,,3
572,,4
573,,4
574,,4
575,,2
576,,4
577,,6
578,,8
579,,5
580,,7
581,,7
582,,1
583,,5
584,,1
585,,4
586,,4
587,,3
588,,2
589,,4
590,,4
591,,3
592,,5
593,,4
594,,5
595,,4
596,,2
597,,8
598,,0
599,,2
600,,6
601,,7
602,,4
603,,4
604,,5
605,,4
606,,4
607,,4
608,,3
609,,0
610,,2
611,,2
612,,1
613,,7
614,,2
615,,3
616,,4
617,,7
618,,2
619,,9
620,,1
621,,1
622,,2
623,,7
624,,1
625,,5
626,,9
627,,4
628,,2
629,,5
630,,1
631,,1
632,,4
633,,4
634,,5
635,,3
636,,2
637,,4
638,,3
639,,4
640,,3
641,,6
642,,1
643,,4
644,,3
645,,2
646,,2
647,,3
648,,5
649,,5
650,,6
651,,5
652,,3
653,,3
654,,5
655,,7
656,,3
657,,5
658,,4
659,,3
660,,6
661,,3
662,,4
663,,2
664,,4
665,,7
666,,2
667,,8
668,,1
669,,2
670,,5
671,,2
672,,5
673,,4
674,,6
675,,7
676,,8
677,,5
678,,3
679,,6
680,,4
681,,2
682,,0
683,,5
684,,3
685,,10
686,,6
687,,5
688,,4
689,,4
690,,2
691,,3
692,,2
693,,7
694,,6
695,,3
696,,2
697,,3
698,,4
699,,1
700,,9
701,,4
702,,9
703,,5
704,,8
705,,5
706,,1
707,,2
708,,3
709,,6
710,,4
711,,2
712,,5
713,,3
714,,8
715,,0
716,,5
717,,5
718,,3
719,,4
720,,4
721,,3
722,,4
723,,3
724,,5
725,,4
726,,6
727,,2
728,,5
729,,3
730,,3
731,,5
732,,6
733,,2
734,,3
735,,6
736,,3
737,,1
738,,3
739,,1
740,,3
741,,6
742,,3
743,,5
744,,7
745,,3
746,,9
747,,6
748,,2
749,,0
750,,2
751,,3
752,,4
753,,3
754,,3
755,,3
756,,3
757,,5
758,,4
759,,3
760,,7
761,,6
762,,3
763,,3
764,,3
765,,3
766,,7
767,,5
768,,2
769,,1
770,,5
771,,4
772,,3
773,,4
774,,7
775,,7
776,,3
777,,4
778,,4
779,,7
780,,3
781,,6
782,,2
783,,3
784,,3
785,,3
786,,3
787,,3
788,,3
789,,1
790,,1
791,,2
792,,5
793,,3
794,,2
795,,3
796,,5
797,,8
798,,4
799,,5
800,,5
801,,6
802,,1
803,,2
804,,4
805,,3
806,,5
807,,4
808,,4
809,,3
810,,6
811,,8
812,,3
813,,5
814,,1
815,,3
816,,7
817,,3
818,,5
819,,3
820,,3
821,,2
822,,3
823,,6
824,,4
825,,4
826,,3
827,,4
828,,4
829,,7
830,,7
831,,4
832,,3
833,,3
834,,4
835,,2
836,,3
837,,4
838,,0
839,,9
840,,5
841,,3
842,,4
843,,2
844,,6
845,,6
846,,4
847,,7
848,,8
849,,3
850,,3
851,,4
852,,5
853,,3
854,,1
855,,4
856,,6
857,,6
858,,4
859,,2
860,,3
861,,4
862,,7
863,,4
864,,5
865,,4
866,,3
867,,4
868,,3
869,,0
870,,8
871,,4
872,,6
873,,4
874,,5
875,,3
876,,3
877,,4
878,,6
879,,0
880,,4
881,,7
882,,4
883,,4
884,,4
885,,4
886,,2
887,,4
888,,7
889,,6
890,,1
891,,4
892,,5
893,,0
894,,5
895,,4
896,,3
897,,6
898,,9
899,,2
900,,4
901,,3
902,,5
903,,3
904,,1
905,,3
906,,4
907,,6
908,,3
909,,5
910,,3
911,,6
912,,6
913,,4
914,,3
915,,3
916,,5
917,,7
918,,4
919,,3
920,,4
921,,2
922,,3
923,,3
924,,7
925,,4
926,,1
927,,5
928,,4
929,,2
930,,7
931,,5
932,,9
933,,5
934,,1
935,,3
936,,2
937,,4
938,,7
939,,3
940,,4
941,,1
942,,2
943,,4
944,,2
945,,0
946,,5
947,,2
948,,6
949,,3
950,,6
951,,4
952,,4
953,,4
954,,6
955,,2
956,,3
957,,5
958,,2
959,,4
960,,3
961,,1
962,,4
963,,6
964,,3
965,,2
966,,2
967,,3
968,,6
969,,2
970,,8
971,,5
972,,1
973,,4
974,,5
975,,4
976,,6
977,,3
978,,7
979,,4
980,,0
981,,2
982,,3
983,,4
984,,4
985,,5
986,,3
987,,5
988,,6
989,,8
990,,8
991,,4
992,,2
993,,3
994,,2
995,,7
996,,3
997,,3
998,,3
999,,5
1000,,5
1001,,2
1002,,3
1003,,2
1004,,1
1005,,5
1006,,2
1007,,2
1008,,7
1009,,4
1010,,6
1011,,6
1012,,4
1013,,7
1014,,3
1015,,0
1016,,3
1017,,5
1018,,4
1019,,5
1020,,4
1021,,3
1022,,7
1023,,7
