Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,694.02
Elapsed Live Time:,680.55
Start Time:,March 27, 2025, 02:40:15
End Time:,March 27, 2025, 02:51:49
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,1,1023,155003,155003,0,103

Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,8
10,,134
11,,39
12,,60
13,,112
14,,199
15,,607
16,,1087
17,,1250
18,,1340
19,,1494
20,,1429
21,,1312
22,,1252
23,,1296
24,,1349
25,,1508
26,,1596
27,,1782
28,,1942
29,,1940
30,,2017
31,,1983
32,,2087
33,,2020
34,,2112
35,,2040
36,,2036
37,,2006
38,,2060
39,,1992
40,,1953
41,,1908
42,,1940
43,,1840
44,,1873
45,,1808
46,,1792
47,,1734
48,,1710
49,,1703
50,,1706
51,,1596
52,,1517
53,,1505
54,,1495
55,,1439
56,,1434
57,,1436
58,,1358
59,,1340
60,,1247
61,,1244
62,,1225
63,,1266
64,,1156
65,,1124
66,,1143
67,,1150
68,,1129
69,,1074
70,,1025
71,,984
72,,1002
73,,982
74,,963
75,,954
76,,890
77,,903
78,,881
79,,843
80,,841
81,,823
82,,846
83,,830
84,,839
85,,731
86,,789
87,,756
88,,735
89,,746
90,,674
91,,718
92,,667
93,,649
94,,687
95,,579
96,,601
97,,665
98,,583
99,,617
100,,574
101,,520
102,,564
103,,484
104,,513
105,,485
106,,493
107,,440
108,,472
109,,460
110,,434
111,,432
112,,390
113,,398
114,,403
115,,382
116,,415
117,,394
118,,361
119,,348
120,,404
121,,379
122,,380
123,,338
124,,326
125,,334
126,,299
127,,326
128,,332
129,,322
130,,289
131,,308
132,,310
133,,326
134,,303
135,,316
136,,288
137,,305
138,,268
139,,264
140,,284
141,,253
142,,252
143,,269
144,,246
145,,220
146,,239
147,,219
148,,224
149,,220
150,,199
151,,192
152,,203
153,,191
154,,212
155,,200
156,,185
157,,168
158,,183
159,,198
160,,177
161,,158
162,,198
163,,169
164,,171
165,,141
166,,170
167,,169
168,,182
169,,145
170,,153
171,,139
172,,136
173,,165
174,,157
175,,165
176,,146
177,,142
178,,153
179,,122
180,,148
181,,138
182,,147
183,,128
184,,132
185,,159
186,,122
187,,121
188,,139
189,,134
190,,124
191,,127
192,,117
193,,128
194,,124
195,,122
196,,109
197,,121
198,,120
199,,125
200,,106
201,,138
202,,119
203,,103
204,,112
205,,136
206,,114
207,,119
208,,112
209,,114
210,,106
211,,98
212,,103
213,,113
214,,119
215,,84
216,,110
217,,114
218,,120
219,,115
220,,100
221,,120
222,,101
223,,96
224,,115
225,,127
226,,122
227,,95
228,,100
229,,111
230,,116
231,,123
232,,87
233,,107
234,,114
235,,109
236,,104
237,,92
238,,95
239,,94
240,,90
241,,88
242,,99
243,,109
244,,78
245,,87
246,,76
247,,73
248,,84
249,,66
250,,75
251,,75
252,,78
253,,74
254,,56
255,,74
256,,71
257,,60
258,,63
259,,59
260,,50
261,,57
262,,73
263,,65
264,,69
265,,51
266,,68
267,,61
268,,56
269,,57
270,,62
271,,50
272,,61
273,,46
274,,52
275,,72
276,,62
277,,66
278,,38
279,,60
280,,60
281,,60
282,,60
283,,53
284,,53
285,,54
286,,43
287,,55
288,,60
289,,51
290,,60
291,,45
292,,64
293,,55
294,,60
295,,50
296,,53
297,,48
298,,64
299,,58
300,,56
301,,54
302,,49
303,,43
304,,59
305,,52
306,,56
307,,39
308,,50
309,,52
310,,41
311,,52
312,,52
313,,42
314,,37
315,,46
316,,43
317,,47
318,,50
319,,47
320,,54
321,,40
322,,43
323,,52
324,,36
325,,54
326,,54
327,,45
328,,52
329,,53
330,,44
331,,43
332,,40
333,,51
334,,43
335,,41
336,,46
337,,44
338,,46
339,,49
340,,48
341,,51
342,,49
343,,45
344,,45
345,,52
346,,55
347,,42
348,,60
349,,45
350,,57
351,,50
352,,39
353,,51
354,,38
355,,57
356,,51
357,,37
358,,51
359,,51
360,,50
361,,42
