Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,MCS Internal
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,306
Lower Discriminator:,206
Calibration Coefficients:Elapsed Real Time:,0.0
Elapsed Live Time:,0.0
Start Time:,March 27, 2025, 10:37:52
End Time:,March 27, 2025, 10:38:12
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,22
1,,25
2,,36
3,,27
4,,13
5,,25
6,,23
7,,23
8,,29
9,,29
10,,19
11,,27
12,,22
13,,29
14,,18
15,,24
16,,26
17,,30
18,,23
19,,31
20,,21
21,,18
22,,22
23,,26
24,,22
25,,33
26,,21
27,,32
28,,20
29,,23
30,,21
31,,31
32,,32
33,,25
34,,30
35,,24
36,,25
37,,31
38,,26
39,,16
40,,20
41,,17
42,,28
43,,31
44,,31
45,,37
46,,21
47,,22
48,,26
49,,32
50,,28
51,,22
52,,23
53,,30
54,,29
55,,27
56,,29
57,,33
58,,26
59,,18
60,,30
61,,32
62,,29
63,,25
64,,19
65,,24
66,,20
67,,35
68,,24
69,,25
70,,23
71,,22
72,,27
73,,22
74,,32
75,,25
76,,26
77,,21
78,,19
79,,29
80,,25
81,,28
82,,18
83,,27
84,,22
85,,15
86,,26
87,,28
88,,22
89,,34
90,,21
91,,26
92,,36
93,,29
94,,26
95,,26
96,,23
97,,16
98,,29
99,,13
100,,25
101,,25
102,,31
103,,24
104,,19
105,,17
106,,17
107,,21
108,,34
109,,29
110,,17
111,,30
112,,25
113,,36
114,,30
115,,21
116,,23
117,,35
118,,26
119,,32
120,,28
121,,27
122,,28
123,,42
124,,12
125,,25
126,,40
127,,30
128,,32
129,,30
130,,29
131,,27
132,,26
133,,25
134,,28
135,,24
136,,26
137,,30
138,,22
139,,18
140,,23
141,,21
142,,19
143,,27
144,,28
145,,26
146,,20
147,,28
148,,23
149,,15
150,,16
151,,28
152,,28
153,,21
154,,27
155,,24
156,,33
157,,27
158,,30
159,,17
160,,31
161,,24
162,,21
163,,37
164,,24
165,,27
166,,29
167,,25
168,,17
169,,27
170,,27
171,,28
172,,25
173,,18
174,,22
175,,26
176,,28
177,,23
