Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,MCS Internal
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,306
Lower Discriminator:,206
Calibration Coefficients:Elapsed Real Time:,0.0
Elapsed Live Time:,0.0
Start Time:,March 27, 2025, 09:35:48
End Time:,March 27, 2025, 09:46:02
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,89
1,,90
2,,90
3,,79
4,,88
5,,85
6,,101
7,,102
8,,75
9,,114
10,,82
11,,96
12,,106
13,,92
14,,105
15,,90
16,,87
17,,64
18,,88
19,,68
20,,97
21,,89
22,,99
23,,97
24,,88
25,,98
26,,106
27,,80
28,,85
29,,111
30,,92
31,,78
32,,106
33,,92
34,,79
35,,102
36,,85
37,,98
38,,104
39,,94
40,,80
41,,93
42,,94
43,,86
44,,106
45,,89
46,,95
47,,98
48,,100
49,,104
50,,72
51,,96
52,,90
53,,88
54,,104
55,,106
56,,86
57,,103
58,,103
59,,101
60,,95
61,,105
62,,103
63,,93
64,,94
65,,102
66,,81
67,,95
68,,95
69,,80
70,,105
71,,110
72,,108
73,,93
74,,97
75,,88
76,,83
77,,78
78,,99
79,,97
80,,101
81,,96
82,,88
83,,92
84,,77
85,,97
86,,85
87,,88
88,,100
89,,105
90,,82
91,,87
92,,96
93,,89
94,,101
95,,100
96,,86
97,,97
98,,74
99,,81
100,,96
101,,108
102,,88
103,,92
104,,115
105,,93
106,,93
107,,92
108,,99
109,,97
110,,85
111,,114
112,,88
113,,106
114,,93
115,,91
116,,98
117,,106
118,,78
119,,102
120,,86
121,,95
122,,87
123,,99
124,,89
125,,85
126,,99
127,,81
128,,104
129,,87
130,,86
131,,89
132,,99
133,,107
134,,113
135,,94
136,,86
137,,79
138,,100
139,,88
140,,99
141,,102
142,,79
143,,94
144,,77
145,,115
146,,90
147,,97
148,,90
149,,97
150,,99
151,,111
152,,84
153,,83
154,,70
155,,91
156,,94
157,,98
158,,101
159,,88
160,,75
161,,97
162,,82
163,,98
164,,112
165,,105
166,,100
167,,95
168,,97
169,,76
170,,82
171,,79
172,,93
173,,90
174,,90
175,,88
176,,95
177,,89
178,,96
179,,80
180,,92
181,,106
182,,105
183,,111
184,,99
185,,101
186,,93
187,,96
188,,97
189,,92
190,,92
191,,92
192,,105
193,,91
194,,102
195,,88
196,,91
197,,76
198,,79
199,,94
200,,69
201,,109
202,,116
203,,92
204,,87
205,,121
206,,89
207,,102
208,,77
209,,85
210,,89
211,,99
212,,97
213,,83
214,,110
215,,95
216,,99
217,,103
218,,93
219,,104
220,,92
221,,85
222,,88
223,,98
224,,111
225,,94
226,,97
227,,83
228,,86
229,,94
230,,93
231,,92
232,,101
233,,97
234,,92
235,,104
236,,75
237,,101
238,,98
239,,105
240,,107
241,,95
242,,101
243,,78
244,,88
245,,85
246,,94
247,,99
248,,95
249,,99
250,,96
251,,101
252,,77
253,,92
254,,103
255,,92
256,,91
257,,73
258,,100
259,,102
260,,88
261,,89
262,,99
263,,83
264,,88
265,,91
266,,96
267,,88
268,,88
269,,89
270,,88
271,,67
272,,92
273,,83
274,,106
275,,92
276,,91
277,,86
278,,83
279,,85
280,,94
281,,91
282,,82
283,,101
284,,95
285,,98
286,,86
287,,108
288,,101
289,,79
290,,96
291,,89
292,,94
293,,103
294,,92
295,,113
296,,97
297,,73
298,,75
299,,93
300,,84
301,,83
302,,104
303,,90
304,,96
305,,103
306,,79
307,,107
308,,88
309,,79
310,,81
311,,91
312,,86
313,,97
314,,72
315,,98
316,,87
317,,83
318,,74
319,,84
320,,83
321,,97
322,,77
323,,88
324,,93
325,,106
326,,93
327,,93
328,,103
329,,91
330,,102
331,,83
332,,89
333,,78
334,,93
335,,101
336,,92
337,,107
338,,108
339,,88
340,,89
341,,69
342,,89
343,,84
344,,84
345,,93
346,,99
347,,98
348,,89
349,,91
350,,70
351,,96
352,,77
353,,84
354,,92
355,,80
356,,92
357,,100
358,,93
359,,86
360,,78
361,,87
362,,102
363,,85
364,,108
365,,108
366,,84
367,,98
368,,104
369,,107
370,,90
371,,93
372,,83
373,,73
374,,83
375,,103
376,,109
377,,104
378,,89
379,,90
380,,88
381,,83
382,,74
383,,101
384,,116
385,,96
386,,81
387,,108
388,,107
389,,82
390,,113
391,,103
392,,81
393,,121
394,,91
395,,73
396,,88
397,,95
398,,86
399,,83
400,,93
401,,91
402,,95
403,,87
404,,91
405,,93
406,,111
407,,87
408,,108
409,,93
410,,86
411,,95
412,,91
413,,85
414,,102
415,,95
416,,79
417,,75
418,,104
419,,87
420,,103
421,,92
422,,101
423,,91
424,,93
425,,102
426,,87
427,,82
428,,112
429,,108
430,,96
431,,89
432,,98
433,,83
434,,90
435,,84
436,,113
437,,88
438,,82
439,,95
440,,111
441,,76
442,,94
443,,98
444,,90
445,,92
446,,91
447,,95
448,,92
449,,88
450,,109
451,,108
452,,88
453,,93
454,,91
455,,78
456,,83
457,,85
458,,73
459,,86
460,,95
461,,74
462,,80
463,,117
