Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,MCS Internal
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,0.0
Elapsed Live Time:,0.0
Start Time:,March 27, 2025, 12:07:59
End Time:,March 27, 2025, 12:08:20
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,73
1,,58
2,,88
3,,73
4,,69
5,,75
6,,80
7,,73
8,,61
9,,64
10,,69
11,,57
12,,74
13,,73
14,,71
15,,76
16,,77
17,,80
18,,71
19,,75
20,,66
21,,69
22,,83
23,,71
24,,90
25,,77
26,,67
27,,57
28,,80
29,,66
30,,86
31,,71
32,,78
33,,58
34,,55
35,,59
36,,80
37,,71
38,,83
39,,75
40,,64
41,,57
42,,73
43,,76
44,,64
45,,70
46,,62
47,,73
48,,72
49,,61
50,,68
51,,82
52,,99
53,,66
54,,59
55,,70
56,,58
57,,84
58,,77
59,,63
60,,72
61,,83
62,,77
63,,74
64,,62
65,,71
66,,77
67,,71
68,,66
69,,71
70,,72
71,,67
72,,70
73,,51
74,,78
75,,78
76,,68
77,,63
78,,87
79,,62
80,,70
81,,50
82,,68
83,,72
84,,74
85,,71
86,,91
87,,59
88,,81
89,,72
90,,55
91,,70
92,,75
93,,83
94,,79
95,,80
96,,68
97,,79
98,,71
99,,69
100,,57
101,,78
102,,68
103,,71
104,,72
105,,69
106,,67
107,,70
108,,74
109,,74
110,,56
111,,74
112,,69
113,,76
114,,43
115,,63
116,,65
117,,65
118,,79
119,,65
120,,72
121,,68
122,,85
123,,66
124,,70
125,,74
126,,77
127,,68
128,,56
129,,81
130,,81
131,,65
132,,58
133,,64
134,,68
135,,75
136,,76
137,,69
138,,72
139,,66
140,,68
141,,91
142,,71
143,,79
144,,68
145,,74
146,,73
147,,72
148,,58
149,,71
150,,71
151,,79
152,,88
153,,72
154,,70
155,,58
156,,83
157,,72
158,,80
159,,69
160,,82
161,,66
162,,59
163,,71
164,,61
165,,87
166,,67
167,,64
168,,75
169,,65
170,,76
171,,51
172,,57
173,,73
174,,66
175,,59
176,,78
177,,66
178,,59
179,,75
180,,42
181,,65
182,,74
183,,73
184,,71
185,,70
186,,75
187,,76
188,,76
189,,67
190,,68
191,,51
192,,86
193,,83
194,,52
195,,68
196,,63
197,,74
198,,71
199,,64
200,,79
201,,84
202,,68
203,,70
204,,84
205,,80
206,,84
207,,71
208,,66
209,,73
210,,76
211,,73
212,,82
213,,80
214,,84
215,,67
216,,77
217,,76
218,,62
219,,77
220,,70
221,,74
222,,72
223,,73
224,,59
225,,80
226,,70
227,,72
228,,77
229,,58
230,,59
231,,69
232,,63
233,,78
234,,86
235,,63
236,,74
237,,71
238,,77
239,,67
240,,79
241,,89
242,,80
243,,74
244,,65
245,,80
246,,71
247,,72
248,,70
249,,72
250,,74
251,,78
252,,65
253,,76
254,,75
255,,73
256,,81
257,,63
258,,67
259,,85
260,,63
261,,74
262,,53
263,,60
264,,55
265,,55
266,,65
267,,79
268,,77
269,,82
270,,77
271,,78
272,,90
273,,67
274,,79
275,,70
276,,72
277,,73
278,,66
279,,66
280,,69
281,,76
282,,75
283,,63
284,,79
285,,79
286,,65
287,,87
288,,60
289,,77
290,,76
291,,81
292,,79
293,,68
294,,68
295,,67
296,,71
297,,73
298,,72
299,,67
300,,78
301,,75
302,,70
303,,66
304,,60
305,,76
306,,60
307,,66
308,,59
309,,67
310,,95
311,,77
312,,84
313,,76
314,,82
315,,61
316,,82
317,,68
318,,73
319,,70
320,,65
321,,62
322,,71
323,,78
324,,66
325,,78
326,,67
327,,67
328,,85
329,,63
330,,72
331,,83
332,,71
333,,62
334,,76
335,,60
336,,77
337,,69
338,,87
339,,80
340,,79
341,,80
342,,75
343,,85
344,,69
345,,74
346,,62
347,,76
348,,72
349,,77
350,,76
351,,79
352,,68
353,,68
354,,58
355,,67
356,,85
357,,70
358,,56
359,,62
360,,70
361,,84
362,,63
363,,71
364,,78
365,,76
366,,63
367,,70
368,,75
369,,61
370,,66
371,,73
372,,75
373,,50
374,,93
375,,57
376,,88
377,,69
